datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2021-03-28 17:00:00,1616950800.0,2021-03-28 17:00:00,BTC/USDT,56277.68,56320.0,55812.34,55987.0,7421.704,415948298.2613,84961
2021-03-28 18:00:00,1616954400.0,2021-03-28 18:00:00,BTC/USDT,55987.0,56023.78,55165.76,55226.51,13020.394,723433901.22439,137297
2021-03-28 19:00:00,1616958000.0,2021-03-28 19:00:00,BTC/USDT,55226.5,55437.58,54694.91,55217.96,17486.646,962925720.44983,187280
2021-03-28 20:00:00,1616961600.0,2021-03-28 20:00:00,BTC/USDT,55217.96,55240.0,54761.86,54890.64,10989.713,604712152.82227,115728
2021-03-28 21:00:00,1616965200.0,2021-03-28 21:00:00,BTC/USDT,54890.65,55386.67,54848.87,55155.45,5734.192,315866588.50831,80221
2021-03-28 22:00:00,1616968800.0,2021-03-28 22:00:00,BTC/USDT,55155.46,55680.0,55030.0,55610.0,7441.647,412110398.89252,88162
2021-03-28 23:00:00,1616972400.0,2021-03-28 23:00:00,BTC/USDT,55610.01,55887.0,55525.0,55805.08,6301.552,351043801.44922,75236
2021-03-29 00:00:00,1616976000.0,2021-03-29 00:00:00,BTC/USDT,55804.16,55948.62,55330.18,55441.01,8731.909,486152446.85408,95797
2021-03-29 01:00:00,1616979600.0,2021-03-29 01:00:00,BTC/USDT,55441.01,55536.0,55005.03,55272.05,7898.462,436058951.98524,91080
2021-03-29 02:00:00,1616983200.0,2021-03-29 02:00:00,BTC/USDT,55272.53,55549.56,55174.45,55389.97,5844.573,323707773.28919,69109
2021-03-29 03:00:00,1616986800.0,2021-03-29 03:00:00,BTC/USDT,55389.97,55577.23,55318.56,55416.04,3498.693,194066269.32761,45954
2021-03-29 04:00:00,1616990400.0,2021-03-29 04:00:00,BTC/USDT,55416.04,55536.55,55100.0,55353.33,6849.693,378782015.64623,73289
2021-03-29 05:00:00,1616994000.0,2021-03-29 05:00:00,BTC/USDT,55353.32,55460.0,54931.15,55076.33,8037.258,443088271.5362,85413
2021-03-29 06:00:00,1616997600.0,2021-03-29 06:00:00,BTC/USDT,55076.32,55520.87,55056.52,55414.74,6444.382,356459880.97915,79058
2021-03-29 07:00:00,1617001200.0,2021-03-29 07:00:00,BTC/USDT,55414.74,56200.0,55385.0,55949.99,13757.207,769302333.46575,149310
2021-03-29 08:00:00,1617004800.0,2021-03-29 08:00:00,BTC/USDT,55950.0,57290.0,55942.99,57169.9,21454.057,1216011125.83188,223912
2021-03-29 09:00:00,1617008400.0,2021-03-29 09:00:00,BTC/USDT,57167.52,58279.46,56987.0,57961.11,29727.815,1712935518.0801,314796
2021-03-29 10:00:00,1617012000.0,2021-03-29 10:00:00,BTC/USDT,57962.05,58383.18,57810.0,58079.28,16874.788,979693674.68328,186741
2021-03-29 11:00:00,1617015600.0,2021-03-29 11:00:00,BTC/USDT,58079.28,58160.0,57633.0,57893.21,12203.247,706291968.33068,137038
2021-03-29 12:00:00,1617019200.0,2021-03-29 12:00:00,BTC/USDT,57892.33,58490.11,57845.26,58087.65,15624.811,909360571.60982,174484
2021-03-29 13:00:00,1617022800.0,2021-03-29 13:00:00,BTC/USDT,58087.66,58248.56,57847.22,58014.48,9189.038,533379705.52691,109814
2021-03-29 14:00:00,1617026400.0,2021-03-29 14:00:00,BTC/USDT,58015.39,58243.18,57878.0,58163.26,9248.994,537295525.84448,104800
2021-03-29 15:00:00,1617030000.0,2021-03-29 15:00:00,BTC/USDT,58163.25,58235.0,57266.16,57765.26,27999.341,1615330550.53804,264659
2021-03-29 16:00:00,1617033600.0,2021-03-29 16:00:00,BTC/USDT,57765.25,57881.35,57220.0,57665.78,16630.029,957832635.84892,186435
2021-03-29 17:00:00,1617037200.0,2021-03-29 17:00:00,BTC/USDT,57667.06,58361.68,57615.43,57977.72,14417.201,836978408.46724,154788
2021-03-29 18:00:00,1617040800.0,2021-03-29 18:00:00,BTC/USDT,57977.71,58079.79,57615.0,57876.79,7198.955,416430552.55811,86577
2021-03-29 19:00:00,1617044400.0,2021-03-29 19:00:00,BTC/USDT,57876.79,57921.0,57452.85,57737.13,7281.572,420203406.29468,84467
2021-03-29 20:00:00,1617048000.0,2021-03-29 20:00:00,BTC/USDT,57737.14,57789.58,57107.0,57342.31,9085.704,521936321.4695,101223
2021-03-29 21:00:00,1617051600.0,2021-03-29 21:00:00,BTC/USDT,57343.44,57703.76,57250.0,57590.01,6068.096,348723952.468,78524
2021-03-29 22:00:00,1617055200.0,2021-03-29 22:00:00,BTC/USDT,57590.01,57950.0,57518.57,57793.59,6256.066,361476717.18172,72061
2021-03-29 23:00:00,1617058800.0,2021-03-29 23:00:00,BTC/USDT,57793.58,57829.55,57320.0,57677.64,6893.377,397073294.71668,74080
2021-03-30 00:00:00,1617062400.0,2021-03-30 00:00:00,BTC/USDT,57676.14,57800.0,57459.0,57576.71,6823.387,393227996.24432,71864
2021-03-30 01:00:00,1617066000.0,2021-03-30 01:00:00,BTC/USDT,57576.71,57645.15,57300.0,57479.99,7119.335,409014668.15385,72448
2021-03-30 02:00:00,1617069600.0,2021-03-30 02:00:00,BTC/USDT,57479.95,57493.75,57225.0,57376.79,5886.61,337514183.98979,69710
2021-03-30 03:00:00,1617073200.0,2021-03-30 03:00:00,BTC/USDT,57376.32,57433.05,57163.3,57227.28,5817.267,333266334.89068,68150
2021-03-30 04:00:00,1617076800.0,2021-03-30 04:00:00,BTC/USDT,57227.28,57877.91,57110.0,57604.58,10201.9,586498306.2611,109008
2021-03-30 05:00:00,1617080400.0,2021-03-30 05:00:00,BTC/USDT,57603.75,57741.61,57430.0,57708.41,6394.959,368158658.26298,77459
2021-03-30 06:00:00,1617084000.0,2021-03-30 06:00:00,BTC/USDT,57708.42,58340.0,57550.0,58103.93,12177.525,706083738.82828,131694
2021-03-30 07:00:00,1617087600.0,2021-03-30 07:00:00,BTC/USDT,58103.94,58350.0,57980.0,58173.44,9573.698,556750457.1648,103711
2021-03-30 08:00:00,1617091200.0,2021-03-30 08:00:00,BTC/USDT,58173.44,58259.2,57772.0,57998.15,9940.78,576567195.53696,108600
2021-03-30 09:00:00,1617094800.0,2021-03-30 09:00:00,BTC/USDT,57993.45,59030.0,57905.0,58948.27,23910.997,1401857706.17239,232161
2021-03-30 10:00:00,1617098400.0,2021-03-30 10:00:00,BTC/USDT,58948.78,59560.0,58711.0,58942.0,28141.832,1664685409.83643,277615
